transaction_id,datetime,category,subcategory,merchant,description,payment_method,account,card_last4,amount_base,tax,tip,total,currency,is_refund,channel,device,city,state,country,is_recurring,subscription_name,is_split,split_group_id,notes,tags
2d6f61c2-36b8-4a5a-97ae-707ff80b3f56,2024-08-01 08:12:27,Personal,Laundry,Wash&Fold,Paid Wash&Fold for laundry,Cash,Credit Card - Mastercard,5945,12.64,0.79,0,13.43,USD,FALSE,App,Android,New York,NY,USA,FALSE,,FALSE,,,"selfcare,errands"
32fd0e86-73ee-41ff-9f96-05e1c63161ba,2024-08-01 11:50:00,Housing,Rent,Sunrise Apartments,Apartment Rent - Sunrise Apartments,Bank Transfer,Checking,,1500,0,0,1500,USD,FALSE,Online,Web,Cambridge,MA,USA,TRUE,Apartment Rent,FALSE,,Recurring payment,"recurring,subscription"
6117499d-e807-4fc2-a171-4aef6134aae6,2024-08-02 06:15:38,Travel,Flights,American Airlines,Travel: Flights,Apple Pay,Credit Card - Amex,6383,200.12,0,0,200.12,USD,FALSE,Online,Web,Orlando,FL,USA,FALSE,,FALSE,,,"trip,gift,flight"
2fb37d7a-3855-4998-81e8-a252dc634c80,2024-08-02 14:55:16,Shopping,Electronics,Best Buy,Shopping: Electronics,Amex Credit Card,Credit Card - Visa,3128,349.49,24.24,0,373.73,USD,FALSE,App,Android,Buffalo,NY,USA,FALSE,,FALSE,,,"urgent,clothes"
06cbb591-b88a-491d-9e96-35b27a41cd6c,2024-08-02 17:47:12,Personal,Gifts,Etsy,Etsy - gifts,Cash,Credit Card - Amex,3362,30.78,2.82,0,33.6,USD,FALSE,Online,Web,Houston,TX,USA,FALSE,,FALSE,,,"selfcare,errands"
6da417b6-1369-44c1-ad4e-4e6d319aebed,2024-08-03 06:08:30,Travel,Car Rental,Avis,Travel: Car Rental,Mastercard Debit,Credit Card - Visa,7248,42.31,0,0,42.31,USD,FALSE,In-Store,Android,Philadelphia,PA,USA,FALSE,,FALSE,,,"promo,hotel"
f1de19d8-abd3-4a92-b63f-04a49b015255,2024-08-03 16:06:40,Travel,Flights,American Airlines,Flights purchase at American Airlines,Amex Credit Card,Credit Card - Mastercard,5696,555.72,0,0,555.72,USD,FALSE,App,Web,Chicago,IL,USA,FALSE,,FALSE,,,"gift,hotel"
50831e4e-5a54-48c0-9184-5a770ed77699,2024-08-04 13:24:38,Housing,Rent,Sunrise Apartments,Rent expense,Google Pay,Credit Card - Mastercard,8489,1975.26,0,0,1975.26,USD,FALSE,Online,Web,Dallas,TX,USA,FALSE,,FALSE,,,"home,bills"
702709e5-cd12-47e2-a218-c5644de953d1,2024-08-04 22:03:42,Entertainment,Movies,Regal Cinemas,Regal Cinemas - movies,Cash,Credit Card - Visa,1827,10,0.81,0,10.81,USD,FALSE,Online,Android,Buffalo,NY,USA,FALSE,,FALSE,,,"movies,fun,monthly"
e8a24a1f-f2a0-4da9-aab6-491f275f6890,2024-08-05 07:34:00,Health,Gym,Planet Fitness,Gym Membership - Planet Fitness,Checking,Checking,,25,0,0,25,USD,FALSE,Online,Web,Somerville,MA,USA,TRUE,Gym Membership,FALSE,,Recurring payment,"recurring,subscription"
